District_Name,MSME_Registered_2021,MSME_Registered_2022,Manufacturing_Units,Services_Units,Trading_Units,Digital_Txn_Score,Utility_Bill_Compliance_Pct,Loan_Default_Rate_Pct,Urban_Rural_Ratio,Infrastructure_Index,Internet_Penetration_Pct,Govt_Scheme_Enrollments,Employment_Generated,Avg_Annual_Turnover_Lakhs,MSME_Density,Growth_Rate,Sector_Diversity_Index,Economic_Activity_Score,Health_Score,Risk_Level,Segment
Agra,16536,16995,4355,8185,3336,72,87,1.52,3.38,50,26,1660,71980,132,16536,2.78,6541.18,0.5892,15,High,Emerging
Aligarh,1912,2060,777,716,231,94,64,32.74,1.22,38,30,7390,16753,157,1912,7.74,803.15,0.3036,18,High,Stable
Allahabad,6366,6590,2061,2167,818,41,79,18.04,1.82,80,86,7340,39280,321,6366,3.52,2681.06,0.4634,38,Medium,Stable
Ambedkar Nagar,12582,13164,4629,5237,3090,42,84,19.34,2.5,73,38,3836,63071,577,12582,4.63,4754.75,0.6029,70,Low,Emerging
Amroha,11079,12484,5387,6206,2383,76,92,24.25,2.34,58,42,5009,72353,349,11079,12.68,4182.47,0.6295,42,Medium,Emerging
Auraiya,7181,7465,2238,2600,756,27,40,21.94,1.88,93,22,4378,62707,312,7181,3.95,3070.08,0.3646,37,Medium,Stable
Azamgarh,4334,5626,1868,2444,648,34,55,33.09,1.48,38,50,7445,33548,699,4334,29.81,1987.25,0.391,85,Low,Stable
Baghpat,12421,15623,6266,7066,3117,63,78,33.1,0.63,58,22,6800,80360,689,12421,25.78,5033.41,0.6744,84,Low,Emerging
Bahraich,9552,12563,3715,4365,1265,67,44,30.48,0.43,86,72,6197,83757,790,9552,31.52,4625.42,0.5906,96,Low,Declining
Ballia,14205,17223,4570,7675,2137,76,61,22.64,4.32,64,74,2248,80960,61,14205,21.25,6384.74,0.6526,6,High,Emerging
Balrampur,7992,9522,2932,3557,1735,55,68,28.23,3.84,32,64,4980,36938,451,7992,19.14,3402.6,0.5028,54,Medium,Declining
Banda,2343,2885,814,1230,587,48,94,24.02,1.73,77,42,916,11956,210,2343,23.13,997.52,0.3051,24,High,Stable
Barabanki,1852,1969,858,840,389,41,42,20.49,4.31,39,55,8139,8152,271,1852,6.32,692.65,0.2989,32,High,Stable
Bareilly,3022,3633,1495,1479,485,56,51,5.37,3.11,91,78,5765,15474,60,3022,20.22,1277.72,0.3366,6,High,Stable
Basti,5303,6511,2452,2070,1346,32,65,28.58,2.27,80,41,4744,27308,579,5303,22.78,2241.27,0.4247,70,Low,Stable
Bhadohi,5468,6251,2652,2919,847,75,55,28.9,2.32,58,77,5176,41909,627,5468,14.32,2205.39,0.4838,76,Low,Stable
Bijnor,5961,7620,3129,2774,1133,36,90,22.28,0.56,20,31,3619,33599,12,5961,27.83,2615.11,0.3106,0,High,Stable
Budaun,7098,7596,2182,2562,1610,11,76,28.89,0.59,22,87,7439,39714,110,7098,7.02,2889.39,0.392,12,High,Stable
Bulandshahr,7568,9866,4227,3040,1947,26,61,23.15,2.79,81,47,449,78769,203,7568,30.36,3297.32,0.4532,24,High,Declining
Chandauli,3856,3947,1412,1650,897,42,96,8.03,2.58,82,43,970,23168,781,3856,2.36,1440.44,0.3766,95,Low,Stable
Chitrakoot,1288,1389,571,604,275,12,68,34.5,1.11,44,27,4563,9497,9,1288,7.84,486.91,0.1917,0,High,Stable
Deoria,3345,4205,1804,1275,778,52,53,8.3,4.27,75,60,1277,18340,54,3345,25.71,1443.3,0.3037,5,High,Stable
Etah,2328,3099,971,1247,353,57,67,13.83,3.56,52,49,8627,13826,663,2328,33.12,1101.39,0.3778,81,Low,Stable
Etawah,2312,2467,671,851,382,48,44,2.32,0.69,57,20,8780,9138,276,2312,6.7,977.15,0.1959,33,High,Stable
Faizabad,11492,12594,3722,5403,1760,51,86,22.02,4.2,25,83,8101,54716,377,11492,9.59,4801.67,0.6171,45,Medium,Emerging
Farrukhabad,4364,4756,1595,1592,649,35,88,12.44,4.39,77,61,5058,23270,643,4364,8.98,1843.38,0.4405,78,Low,Stable
Fatehpur,4720,5090,2105,2230,1251,59,69,23.29,4.48,63,39,6744,22319,113,4720,7.84,1713.77,0.4209,12,High,Stable
Firozabad,7699,10038,4237,3787,1595,34,85,14.1,0.44,64,80,4919,39584,677,7699,30.38,3361.68,0.4985,82,Low,Declining
Gautam Buddha Nagar,13071,15702,3947,7652,3671,33,91,24.17,3.37,51,24,3014,64428,666,13071,20.13,5409.59,0.637,81,Low,Emerging
Ghaziabad,9185,11827,4164,3873,2302,22,44,12.58,2.55,64,70,3574,68642,664,9185,28.76,4040.52,0.4987,81,Low,Declining
Ghazipur,9477,9992,3332,3679,2190,69,51,9.86,3.24,80,44,1452,45280,127,9477,5.43,3697.74,0.4406,14,High,Declining
Gonda,10501,11755,3460,3793,2061,16,55,17.87,4.37,66,19,7196,62552,794,10501,11.94,4464.42,0.5327,97,Low,Declining
Gorakhpur,9461,11453,3137,5554,2136,66,65,24.56,3.16,40,47,4873,68913,611,9461,21.05,4013.53,0.5609,74,Low,Declining
